2022/12/11 06:55:37 [crit] 10173#10173: *13131 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 167.71.20.11, server: 0.0.0.0:443
2022/12/11 06:55:37 [crit] 10173#10173: *13135 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 167.71.20.11, server: 0.0.0.0:443
2022/12/11 11:05:48 [crit] 10173#10173: *13706 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 192.241.196.214, server: 0.0.0.0:443
2022/12/11 11:05:55 [crit] 10173#10173: *13710 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 192.241.196.214, server: 0.0.0.0:443
2022/12/11 22:16:45 [notice] 17805#17805: signal process started
2022/12/11 22:16:47 [notice] 17808#17808: signal process started
2022/12/11 22:16:50 [notice] 17810#17810: signal process started
2022/12/11 22:17:32 [crit] 17811#17811: *15284 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 185.3.94.247, server: 0.0.0.0:443
2022/12/11 22:17:33 [crit] 17811#17811: *15287 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 159.65.51.215, server: 0.0.0.0:443
2022/12/11 22:17:33 [crit] 17811#17811: *15292 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 185.3.94.247, server: 0.0.0.0:443
2022/12/11 22:17:33 [crit] 17811#17811: *15306 SSL_do_handshake() failed (SSL: error:141CF06C:SSL routines:tls_parse_ctos_key_share:bad key share) while SSL handshaking, client: 159.65.51.215, server: 0.0.0.0:443
2022/12/11 22:41:19 [crit] 17811#17811: *15464 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 100.26.141.253, server: 0.0.0.0:443
2022/12/11 22:41:19 [crit] 17811#17811: *15463 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 100.26.141.253, server: 0.0.0.0:443
2022/12/11 22:41:19 [crit] 17811#17811: *15461 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 100.26.141.253, server: 0.0.0.0:443
2022/12/12 01:49:36 [crit] 17811#17811: *15989 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 198.235.24.30, server: 0.0.0.0:443
2022/12/12 01:50:55 [crit] 17811#17811: *15995 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 185.180.143.75, server: 0.0.0.0:443
2022/12/12 01:50:55 [crit] 17811#17811: *15996 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 185.180.143.75, server: 0.0.0.0:443
2022/12/12 01:50:55 [crit] 17811#17811: *15997 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 185.180.143.75, server: 0.0.0.0:443
2022/12/12 04:52:48 [crit] 17811#17811: *16418 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:48 [crit] 17811#17811: *16419 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:48 [crit] 17811#17811: *16417 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16423 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16422 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16425 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16428 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16429 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16430 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16433 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16434 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16435 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16438 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16440 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:49 [crit] 17811#17811: *16439 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16443 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16444 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16445 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16448 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16449 SSL_do_handshake() failed (SSL: error:14209102:SSL routines:tls_early_post_process_client_hello:unsupported protocol) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
2022/12/12 04:52:50 [crit] 17811#17811: *16447 SSL_do_handshake() failed (SSL: error:1420918C:SSL routines:tls_early_post_process_client_hello:version too low) while SSL handshaking, client: 141.105.66.247, server: 0.0.0.0:443
